"","code","game_type","n"
"140","sujeto_529b55b0","individual",1
"141","sujeto_52c54ab9","competitive",124
"142","sujeto_52c54ab9","individual",4
"143","sujeto_587bbcbb","competitive",83
"144","sujeto_587bbcbb","individual",45
"145","sujeto_5fc6b519","competitive",113
"146","sujeto_5fc6b519","individual",15
"147","sujeto_61b0c637","competitive",115
"148","sujeto_61b0c637","individual",6
"149","sujeto_63c82dc6","competitive",121
"150","sujeto_63c82dc6","individual",7
"151","sujeto_6462fbbc","competitive",119
"152","sujeto_6462fbbc","individual",9
"153","sujeto_649d6cd3","competitive",115
"154","sujeto_649d6cd3","individual",2
"155","sujeto_66362819","competitive",124
"156","sujeto_66362819","individual",4
"157","sujeto_665d6eab","competitive",89
"158","sujeto_665d6eab","individual",39
"159","sujeto_685cae59","competitive",93
"160","sujeto_685cae59","individual",35
"161","sujeto_6fce57c3","competitive",95
"162","sujeto_6fce57c3","individual",31
"163","sujeto_725769f0","competitive",92
"164","sujeto_725769f0","individual",36
"165","sujeto_72b8e12c","competitive",127
"166","sujeto_72b8e12c","individual",1
"167","sujeto_74a044c9","competitive",122
"168","sujeto_74a044c9","individual",6
"169","sujeto_774f4a36","competitive",96
"170","sujeto_774f4a36","individual",32
"171","sujeto_7b0e6648","competitive",110
"172","sujeto_7b0e6648","individual",18
"173","sujeto_7e1d6f1a","competitive",99
"174","sujeto_7e1d6f1a","individual",28
"175","sujeto_80570e8a","competitive",128
"176","sujeto_80f4d7da","competitive",117
"177","sujeto_80f4d7da","individual",10
"178","sujeto_85db03a2","competitive",121
"179","sujeto_85db03a2","individual",5
"180","sujeto_8e872371","competitive",73
"181","sujeto_8e872371","individual",55
"182","sujeto_96083b42","competitive",121
"183","sujeto_96083b42","individual",7
"184","sujeto_9ae17e76","competitive",114
"185","sujeto_9ae17e76","individual",14
"186","sujeto_9d0bd287","competitive",127
"187","sujeto_9d0bd287","individual",1
"188","sujeto_a90bad1a","competitive",73
"189","sujeto_a90bad1a","individual",55
"190","sujeto_acaff5ce","competitive",113
"191","sujeto_acaff5ce","individual",15
"192","sujeto_b3dd3930","competitive",126
"193","sujeto_b3dd3930","individual",1
"194","sujeto_b7fbb303","competitive",87
"195","sujeto_b7fbb303","individual",41
"196","sujeto_c28223ba","competitive",105
"197","sujeto_c28223ba","individual",23
"198","sujeto_c36569e9","competitive",85
"199","sujeto_c36569e9","individual",38
"200","sujeto_c3d9e000","competitive",89
"201","sujeto_c3d9e000","individual",39
"202","sujeto_c730bc55","competitive",100
"203","sujeto_c730bc55","individual",28
"204","sujeto_c7735ca1","competitive",115
"205","sujeto_c7735ca1","individual",13
"206","sujeto_c9ac0c57","competitive",127
"207","sujeto_c9ac0c57","individual",1
"208","sujeto_cfeb32c5","competitive",127
"209","sujeto_cfeb32c5","individual",1
"210","sujeto_d04e11ed","competitive",128
"211","sujeto_d72d8a7c","competitive",101
"212","sujeto_d72d8a7c","individual",27
"213","sujeto_dabe6acb","competitive",92
"214","sujeto_dabe6acb","individual",35
"215","sujeto_dcc3c5a9","competitive",93
"216","sujeto_dcc3c5a9","individual",35
"217","sujeto_dccc88fd","competitive",99
"218","sujeto_dccc88fd","individual",28
"219","sujeto_e1314c94","competitive",128
"220","sujeto_e29aeec5","competitive",126
"221","sujeto_e29aeec5","individual",2
"222","sujeto_e844afe8","competitive",124
"223","sujeto_e844afe8","individual",4
"224","sujeto_e9306fb7","competitive",119
"225","sujeto_e9306fb7","individual",6
"226","sujeto_e97cf70e","competitive",127
"227","sujeto_e97cf70e","individual",1
"228","sujeto_eafb7359","competitive",66
"229","sujeto_eafb7359","individual",61
"230","sujeto_efe9883f","competitive",127
"231","sujeto_efe9883f","individual",1
"232","sujeto_fddffe87","competitive",99
"233","sujeto_fddffe87","individual",29
